Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
0,black panther,2018,death father tchalla return home african nation wakanda take rightful place king powerful enemy suddenly reappears tchallas mettle king black panther get tested he drawn conflict put fate wakanda entire world risk faced treachery danger young king must rally ally release full power black panther defeat foe secure safety people,96,79.0,black panther elevates superhero cinema thrilling new height telling one mcus absorbing story introducing fully realized character,519,50000,action adventure,pg13 sequence action violencea brief rude gesture,adventure action fantasy,english,ryan coogler,kevin feige,ryan coogler joe robert cole,feb 16 2018 wide,may 2 2018,7002m,2h 14m,walt disney picture,dts dolby atmos,scope 2351,marvel cinematic universe,chadwick boseman michael b jordan lupita nyongo danai gurira martin freeman daniel kaluuya letitia wright winston duke angela bassett forest whitaker ryan coogler ryan coogler joe robert cole kevin feige louis desposito victoria alonso nate moore jeffrey chernov stan lee rachel morrison
1,avenger endgame,2019,adrift space food water tony stark sends message pepper potts oxygen supply start dwindle meanwhile remaining avenger thor black widow captain america bruce banner must figure way bring back vanquished ally epic showdown thanos evil demigod decimated planet universe,94,90.0,exciting entertaining emotionally impactful avenger endgame whatever take deliver satisfying finale marvel epic infinity saga,538,50000,action adventure,pg13 sequence scifi violenceactionsome language,sci fi adventure action fantasy,english,anthony russo joe russo,kevin feige,christopher markus stephen mcfeely,apr 26 2019 wide,jul 30 2019,8584m,3h 1m,marvel studio walt disney picture,dolby atmos dts dolby digital sdds,scope 2351,marvel cinematic universe,robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson jeremy renner brie larson paul rudd cheadle karen gillan anthony russo joe russo christopher markus stephen mcfeely kevin feige louis desposito victoria alonso michael grillo trinh tran jon favreau
2,mission impossible fallout,2018,ethan hunt imf team join force cia assassin august walker prevent disaster epic proportion arm dealer john lark group terrorist known apostle plan use three plutonium core simultaneous nuclear attack vatican jerusalem mecca saudi arabia weapon go missing ethan crew find desperate race time prevent falling wrong hand,97,88.0,fast sleek fun mission impossible fallout life impossible part name setting yet another high mark insane set piece franchise full,433,10000,action adventure,pg13 intense sequence actionbrief strong languageviolence,action mystery thriller adventure,english,christopher mcquarrie,tom cruise christopher mcquarrie jake myers jj abrams,christopher mcquarrie,jul 27 2018 wide,nov 20 2018,2201m,2h 27m,bad robot tom cruise,dts dolby atmos dolby digital,scope 2351,unknown,tom cruise henry cavill ving rhames simon pegg rebecca ferguson sean harris angela bassett michelle monaghan alec baldwin vanessa kirby christopher mcquarrie christopher mcquarrie tom cruise christopher mcquarrie jake myers jj abrams david ellison dana goldberg granger rob hardy
3,mad max fury road,2015,year collapse civilization tyrannical immortan joe enslaves apocalypse survivor inside desert fortress citadel warrior imperator furiosa charlize theron lead despot five wife daring escape forge alliance max rockatansky tom hardy loner former captive fortified massive armored truck war rig try outrun ruthless warlord henchman deadly highspeed chase wasteland,97,86.0,exhilarating action surprising amount narrative heft mad max fury road brings george miller postapocalyptic franchise roaring vigorously back life,427,100000,action adventure,r intense sequence violencedisturbing image,adventure action,english,george miller,doug mitchell george miller pj voeten,george miller brendan mccarthy nick lathouris,may 15 2015 wide,aug 10 2016,1536m,2h,kennedy miller mitchell village roadshow picture warner bros picture,dolby atmos,scope 2351,unknown,tom hardy charlize theron nicholas hoult hugh keaysbyrne josh helman nathan jones rosie huntingtonwhiteley riley keough abbey lee george miller george miller nick lathouris doug mitchell george miller pj voeten iain smith chris defaria
4,spiderman spiderverse,2018,bitten radioactive spider subway brooklyn teenager mile morale suddenly develops mysterious power transform one spiderman meet peter parker soon realizes many others share special highflying talent mile must use newfound skill battle evil kingpin hulking madman open portal universe pull different version spiderman world,97,93.0,spiderman spiderverse match bold storytelling striking animation purely enjoyable adventure heart humor plenty superhero action,387,10000,action adventure,pg mild languagefrenetic action violencethematic element,action adventure fantasy comedy kid family animation,english,bob persichetti peter ramsey rodney rothman,avi arad amy pascal phil lord christopher miller christina steinberg,phil lord rodney rothman,dec 14 2018 wide,mar 7 2019,1902m,1h 57m,lord miller sony picture animation pascal picture avi arad,dolby atmos dts dolby digital sdds,scope 2351,unknown,shameik moore hailee steinfeld mahershala ali brian tyree henry lily tomlin luna lauren velez john mulaney kimiko glenn bob persichetti peter ramsey rodney rothman phil lord rodney rothman avi arad amy pascal phil lord christopher miller christina steinberg
5,wonder woman,2017,wonder woman gal gadot diana princess amazon trained unconquerable warrior raised sheltered island paradise diana meet american pilot chris pine tell massive conflict thats raging outside world convinced stop threat diana leaf home first time fighting alongside men war end war finally discovers full power true destiny,93,83.0,thrilling earnest buoyed gal gadots charismatic performance wonder woman succeeds spectacular fashion,463,100000,action adventure,pg13 sequence violenceactionsome suggestive content,adventure fantasy action,english,patty jenkins,charles roven deborah snyder zack snyder richard suckle,allan heinberg,jun 2 2017 wide,jul 10 2017,4128m,2h 21m,atlas entertainment cruel unusual,sdds dolby atmos dts,scope 2351,dc extended universe,gal gadot chris pine connie nielsen robin wright danny huston david thewlis ewen bremner lucy davis patty jenkins allan heinberg charles roven deborah snyder zack snyder richard suckle geoff john jon berg wesley coller rebecca steel roven
6,dunkirk,2017,may 1940 germany advanced france trapping allied troop beach dunkirk air ground cover british french force troop slowly methodically evacuated beach using every serviceable naval civilian vessel could found end heroic mission 330000 french british belgian dutch soldier safely evacuated,92,81.0,dunkirk serf emotionally satisfying spectacle delivered writerdirector full command craft brought life gifted ensemble cast honor factbased story,458,50000,action adventure,pg13 languageintense war experience,drama history war,english,christopher nolan,emma thomas christopher nolan,christopher nolan,jul 21 2017 wide,dec 12 2017,1880m,1h 47m,warner bros picture imax corporation,dolby digital datasat dolby atmos,scope 2351,unknown,fionn whitehead tom glynncarney jack lowden harry style aneurin barnard james darcy barry keoghan kenneth branagh cillian murphy mark rylance christopher nolan christopher nolan emma thomas christopher nolan jake myers nathan crowley kevin ishioka
7,coco,2017,despite family generationsold ban music young miguel dream becoming accomplished musician like idol ernesto de la cruz desperate prove talent miguel find stunning colorful land dead meeting charming trickster named héctor two new friend embark extraordinary journey unlock real story behind miguels family history,97,94.0,coco rich visual pleasure matched thoughtful narrative take familyfriendly deeply affecting approach question culture family life death,347,25000,action adventure,pg thematic element,comedy music animation kid family adventure,english,lee unkrich,darla k anderson,adrian molina matthew aldrich,nov 22 2017 wide,feb 13 2018,2105m,1h 49m,pixar animation studio,dolby atmos,scope 2351,pixar,anthony gonzalez benjamin bratt alanna ubach jaime camil alfonso arau selene luna ana ofelia murguía lee unkrich adrian molina adrian molina matthew aldrich darla k anderson john lasseter lee unkrich michael giacchino
8,thor ragnarok,2017,imprisoned side universe mighty thor find deadly gladiatorial contest pit hulk former ally fellow avenger thor quest survival lead race time prevent allpowerful hela destroying home world asgardian civilization,93,87.0,exciting funny fun thor ragnarok colorful cosmic adventure set new standard franchise rest marvel cinematic universe,430,50000,action adventure,pg13 brief suggestive materialactionintense scifi violence,comedy fantasy sci fi action adventure,english,taika waititi,kevin feige,eric pearson craig kyle christopher l yost,nov 3 2017 wide,feb 17 2018,3150m,2h 10m,marvel studio,dolby atmos,scope 2351,marvel cinematic universe,chris hemsworth tom hiddleston cate blanchett idris elba jeff goldblum tessa thompson mark ruffalo karl urban anthony hopkins benedict cumberbatch taika waititi eric pearson craig kyle christopher l yost kevin feige thomas hammel stan lee victoria alonso louis desposito
9,logan,2017,near future weary logan hugh jackman care ailing professor x patrick stewart remote outpost mexican border plan hide outside world get upended meet young mutant dafne keen much like logan must protect girl battle dark force want capture,93,90.0,hugh jackman make final outing wolverine gritty nuanced performance violent surprisingly thoughtful superhero action film defies genre convention,418,50000,action adventure,r language throughoutbrief nuditystrong brutal violence,adventure action fantasy,english,james mangold,hutch parker simon kinberg lauren shuler donner,james mangold michael green scott frank,mar 3 2017 wide,may 16 2017,2263m,2h 17m,marvel entertainment 20th century fox hutch parker entertainment donners company,dolby atmos,scope 2351,xmen,hugh jackman patrick stewart dafne keen richard e grant doris morgado boyd holbrook stephen merchant eriq la salle elise neal elizabeth rodriguez james mangold james mangold michael green scott frank hutch parker simon kinberg lauren shuler donner joseph caracciolo jr stan lee josh mclaglen
10,star war last jedi,2017,luke skywalkers peaceful solitary existence get upended encounter rey young woman show strong sign force desire learn way jedi force luke make decision change life forever meanwhile kylo ren general hux lead first order allout assault leia resistance supremacy galaxy,90,42.0,star war last jedi honor saga rich legacy adding surprising twist delivering emotionrich action fan could hope,476,100000,action adventure,pg13 violencesequences scifi action,action sci fi adventure fantasy,english,rian johnson,kathleen kennedy ram bergman,rian johnson,dec 15 2017 wide,mar 11 2018,6202m,2h 32m,lucasfilm ltd,dts dolby digital dolby atmos,scope 2351,star war saga,mark hamill carrie fisher adam driver daisy ridley john boyega oscar isaac andy serkis lupita nyongo domhnall gleeson anthony daniel rian johnson rian johnson kathleen kennedy ram bergman jj abrams tom karnowski jason mcgatlin steve yedlin bob ducsay
11,star war force awakens,2015,thirty year defeat galactic empire galaxy face new threat evil kylo ren adam driver first order defector named finn crashlands desert planet meet rey daisy ridley tough scavenger whose droid contains topsecret map together young duo join force han solo harrison ford make sure resistance receives intelligence concerning whereabouts luke skywalker mark hamill last jedi knight,93,86.0,packed action populated familiar face fresh blood force awakens successfully recall series former glory injecting renewed energy,440,100000,action adventure,pg13 scifi action violence,action sci fi adventure fantasy,english,jj abrams,kathleen kennedy jj abrams bryan burk,lawrence kasdan jj abrams michael arndt,dec 18 2015 wide,apr 1 2016,123,2h 16m,lucasfilm ltd bad robot,dolby digital dolby atmos,scope 2351,star war saga,harrison ford mark hamill carrie fisher adam driver daisy ridley john boyega oscar isaac lupita nyongo andy serkis domhnall gleeson jj abrams lawrence kasdan jj abrams michael arndt kathleen kennedy jj abrams bryan burk tommy harper jason mcgatlin dan mindel
12,adventure robin hood,1938,king richard lionheart captured scheming brother prince john claude rain plot reach throne outrage sir robin locksley errol flynn bandit king sherwood forest rounding band men eventually winning support lovely maid marian olivia de havilland robin accuses prince john treachery escaped richard return covertly england join force king prevent prince john taking crown,100,89.0,errol flynn thrill legendary title character film embodies type imaginative family adventure tailormade silver screen,48,25000,action adventure,pg,action adventure,english,michael curtiz william keighley,hal b wallis,norman reilly raine seton miller,feb 11 1938 wide,jan 23 2014,unknown,1h 42m,warner brother first national picture,mono,flat 1371,unknown,errol flynn olivia de havilland basil rathbone claude rain patric knowles eugene pallette alan hale herbert mundin una oconnor melville cooper michael curtiz william keighley norman reilly raine seton miller henry blanke hal b wallis erich wolfgang korngold tony gaudio carl jules weyl
13,king kong,1933,actress ann darrow fay wray director carl denham robert armstrong travel indian ocean location shoot denhams new jungle picture along way actress meet fall rugged first mate john driscoll bruce cabot upon arriving mysterious island ann taken hostage native prepare sacrifice enormous ape kong rule jungle ann rescued kong captured real trouble begin,98,86.0,king kong explores soul monster making audience scream cry throughout film large part due kongs breakthrough special effect,65,50000,action adventure,unknown,adventure fantasy,english,merian c cooper ernest b schoedsack,merian c cooper ernest b schoedsack,james ashmore creelman ruth rose,unknown,nov 28 2008,unknown,1h 40m,rko radio picture inc,unknown,unknown,unknown,fay wray bruce cabot robert armstrong frank reicher sam hardy noble johnson james flavin steve clemento walter ackerman merian c cooper ernest b schoedsack james ashmore creelman ruth rose david selznick merian c cooper ernest b schoedsack
14,spiderman far home,2019,peter parker relaxing european vacation take unexpected turn nick fury show hotel room recruit mission world danger four massive elemental creature representing earth air water fire emerge hole torn universe parker soon find donning spiderman suit help fury fellow superhero mysterio stop evil entity wreaking havoc across continent,90,95.0,breezily unpredictable blend teen romance superhero action spiderman far home stylishly set stage next era mcu,448,50000 verified,action adventure,pg13 scifi action violencebrief suggestive commentssome language,action comedy fantasy adventure,english,jon watt,kevin feige amy pascal,chris mckenna erik sommers,jul 2 2019 wide,aug 27 2019,3907m,2h 9m,columbia picture pascal picture marvel studio,dolby digital dolby atmos,scope 2351,marvel cinematic universe,tom holland samuel l jackson jake gyllenhaal marisa tomei jon favreau zendaya jacob batalon tony revolori angourie rice remy hii jon watt chris mckenna erik sommers kevin feige amy pascal louis desposito victoria alonso thomas hammel eric hauserman carroll rachel oconnor
15,incredibles 2,2018,telecommunication guru winston deavor enlists elastigirl fight crime make public fall love superheroes leaf mr incredible one greatest challenge ever staying home taking care three rambunctious child violet dash jackjack offer new set headache cybercriminal named screenslaver launch dastardly plan hypnotizing world computer screen,93,84.0,incredibles 2 reunites pixars family crimefighting team longawaited followup may quite live original come close enough earn name,382,10000,action adventure,pg brief mild languageaction sequence,comedy animation action kid family adventure,english,brad bird,john walker nicole paradis grindle,brad bird,jun 15 2018 wide,oct 23 2018,6086m,1h 58m,walt disney picture pixar animation studio,dts dolby digital dolby atmos,scope 2351,pixar,craig nelson holly hunter sarah vowell huck milner samuel l jackson bob odenkirk catherine keener brad bird bill wise isabella rossellini brad bird brad bird nicole paradis grindle john lasseter stephen schaffer michael giacchino
16,zootopia,2016,largest elephant smallest shrew city zootopia mammal metropolis various animal live thrive judy hopps ginnifer goodwin becomes first rabbit join police force quickly learns tough enforce law determined prove judy jump opportunity solve mysterious case unfortunately mean working nick wilde jason bateman wily fox make job even harder,98,92.0,brilliantly wellrounded zootopia offer thoughtful inclusive message thats rich timely sumptuously stateoftheart animation remaining fast funny enough keep younger viewer entertained,293,100000,action adventure,pg rude humoractionsome thematic element,kid family comedy adventure animation,english,byron howard rich moore,clark spencer,jared bush phil johnston,mar 4 2016 wide,jun 7 2016,unknown,1h 48m,walt disney animation studio,dolby atmos,unknown,unknown,ginnifer goodwin jason bateman shakira idris elba jk simmons nate torrence jenny slate tommy chong octavia spencer bonnie hunt byron howard rich moore jared bush jared bush phil johnston clark spencer john lasseter fabienne rawley jeremy milton michael giacchino
17,war planet ape,2017,caesar andy serkis ape forced deadly conflict army human led ruthless colonel woody harrelson ape suffer unimaginable loss caesar wrestle darker instinct begin mythic quest avenge kind journey finally brings face face caesar colonel pitted epic battle determine fate specie future planet,94,84.0,war planet ape combine breathtaking special effect powerful poignant narrative conclude rebooted trilogy powerful truly blockbuster note,355,50000,action adventure,pg13 sequence scifi violenceactionsome disturbing imagesthematic element,sci fi adventure action,english,matt reef,peter chernin dylan clark rick jaffa amanda silver,matt reef mark bomback,jul 14 2017 wide,apr 1 2019,1468m,2h 22m,20th century fox bluegrass film chernin entertainment,dolby atmos,scope 2351,planet ape,andy serkis woody harrelson steve zahn karin konoval terry notary amiah miller judy greer max lloydjones devyn dalton toby kebbell matt reef matt reef mark bomback peter chernin dylan clark rick jaffa amanda silver mark bomback mary mclaglen michael seresin
18,spiderman homecoming,2017,thrilled experience avenger young peter parker return home live aunt may watchful eye mentor tony stark parker start embrace newfound identity spiderman also try return normal daily routine distracted thought proving friendly neighborhood superhero peter must soon put power test evil vulture emerges threaten everything hold dear,92,87.0,spiderman homecoming whatever second reboot delivering colorful fun adventure fit snugly sprawling mcu without getting bogged franchisebuilding,391,100000,action adventure,pg13 scifi action violencebrief suggestive commentssome language,adventure fantasy action comedy,english,jon watt,kevin feige amy pascal,jonathan goldstein john francis daley jon watt christopher ford chris mckenna erik sommers,jul 7 2017 wide,jul 10 2017,3344m,2h 13m,columbia picture marvel studio,dts sdds dolby atmos,scope 2351,marvel cinematic universe,tom holland michael keaton robert downey jr marisa tomei jon favreau gwyneth paltrow zendaya donald glover jacob batalon laura harrier jon watt jonathan goldstein john francis daley jon watt christopher ford chris mckenna erik sommers kevin feige amy pascal louis desposito
19,baby driver,2017,talented getaway driver baby ansel elgort relies beat personal soundtrack best game meeting woman lily james dream see chance ditch shady lifestyle make clean break coerced working crime bos kevin spacey baby must face music doomed heist threatens life love freedom,92,86.0,stylish exciting fueled killer soundtrack baby driver hit road gone proving fastpaced action movie smartly written without sacrificing thrill,389,50000,action adventure,r violencelanguage throughout,mystery thriller action,english,edgar wright,nira park tim bevan eric fellner,edgar wright,jun 28 2017 wide,jul 10 2017,1078m,1h 53m,working title film big talk picture,dolby atmos dolby digital,scope 2351,unknown,ansel elgort kevin spacey lily james jon bernthal jon hamm jamie foxx eiza gonzález flea sky ferreira lanny joon edgar wright edgar wright nira park tim bevan eric fellner edgar wright rachael prior james biddle adam merims liza chasin
20,seven samurai,1954,samurai answer village request protection fall hard time town need protection bandit samurai gather six others help teach people defend villager provide soldier food giant battle occurs 40 bandit attack village,100,97.0,arguably akira kurosawa masterpiece seven samurai epic adventure classic engrossing story memorable character stunning action sequence make one influential film ever made,65,50000,action adventure,unknown,action,japanese,akira kurosawa,sojiro motoki,shinobu hashimoto akira kurosawa hideo oguni,nov 19 1956 wide,aug 10 2016,2717k,3h 28m,toho company,mono,flat 1371,unknown,toshirô mifune takashi shimura yoshio inaba seiji miyaguchi minoru chiaki isao kimura kamatari fujiwara yoshio tsuchiya akira kurosawa shinobu hashimoto akira kurosawa hideo oguni sojiro motoki fumio hayasaka asakazu nakai akira kurosawa
21,metropolis,1927,influential german sciencefiction film present highly stylized futuristic city beautiful cultured utopia exists bleak underworld populated mistreated worker privileged youth freder gustav fröhlich discovers grim scene city becomes intent helping worker befriends rebellious teacher maria brigitte helm put odds authoritative father leading greater conflict,97,92.0,visually aweinspiring science fiction classic silent era,133,50000,action adventure,unknown,drama sci fi,unknown,fritz lang,erich pommer,fritz lang thea von harbou,unknown,dec 21 2016,12m,2h 3m,paramount,dolby sr dolby digital dolby dolby stereo,flat 1851,unknown,brigitte helm alfred abel rudolf kleinrogge fritz rasp theodor loo erwin biswanger heinrich george olaf storm fritz lang fritz lang thea von harbou thea von harbou erich pommer tawd beckman gottfried huppertz karl freund otto hunte
22,jaw,1975,young woman killed shark skinnydipping near new england tourist town amity island police chief martin brody roy scheider want close beach mayor larry vaughn murray hamilton overrules fearing loss tourist revenue cripple town ichthyologist matt hooper richard dreyfus grizzled ship captain quint robert shaw offer help brody capture killer beast trio engage epic battle man v nature,98,90.0,compelling wellcrafted storytelling judicious sense terror ensure steven spielberg jaw remained benchmark art delivering modern blockbuster thrill,91,250000,action adventure,pg,mystery thriller adventure horror,english,steven spielberg,david brown richard zanuck,howard sackler john milius robert shaw,jun 20 1975 wide,jul 22 2015,2609m,2h 4m,universal picture zanuckbrown production,mono cd,unknown,unknown,roy scheider robert shaw richard dreyfus lorraine gary murray hamilton carl gottlieb jeffrey c kramer susan backlinie jonathan filley ted grossman steven spielberg peter benchley peter benchley carl gottlieb howard sackler john milius robert shaw richard zanuck
23,,2009,carl fredricksen ed asner 78yearold balloon salesman fulfill lifelong dream tying thousand balloon house fly away south american wilderness curmudgeonly carls worst nightmare come true discovers little boy named russell stowaway aboard balloonpowered house,98,90.0,exciting funny poignant adventure offer impeccably crafted story told wit arranged depth well yet another visual pixar treat,298,250000,action adventure,pg perilaction,adventure kid family animation comedy,english,pete docter bob peterson,jonas rivera,bob peterson pete docter,may 29 2009 wide,nov 21 2015,unknown,1h 29m,pixar animation studio,unknown,unknown,pixar,ed asner christopher plummer bob peterson delroy lindo john ratzenberger pete docter bob peterson bob peterson pete docter jonas rivera john lasseter andrew stanton michael giacchino patrick lin
24,shazam,2019,superhero inside u take bit magic bring 14yearold billy batsons case need shout one word transform adult superhero shazam still kid heart shazam revel new version teen would fun testing newfound power hell need master quickly evil dr thaddeus sivana get hand shazams magical ability,90,82.0,effortlessly entertaining blend humor heart shazam superhero movie never forgets genre real power joyous wish fulfillment,409,10000,action adventure,pg13 languageintense sequence actionsuggestive material,comedy adventure action fantasy,english,david f sandberg,peter safran,henry gayden,apr 5 2019 wide,jul 2 2019,1404m,2h 12m,mad ghost production dc entertainment seven buck production safran company,dolby atmos,scope 2351,dc extended universe,zachary levi mark strong asher angel jack dylan grazer djimon hounsou grace fulton ian chen jovan armand faithe herman cooper andrew david f sandberg henry gayden peter safran jeffrey chernov christopher godsick walter hamada geoff john adam schlagman richard brener dave neustadter
25,dark knight,2008,help ally lt jim gordon gary oldman da harvey dent aaron eckhart batman christian bale able keep tight lid crime gotham city vile young criminal calling joker heath ledger suddenly throw town chaos caped crusader begin tread fine line heroism vigilantism,94,94.0,dark complex unforgettable dark knight succeeds entertaining comic book film richly thrilling crime saga,344,250000,action adventure,pg13 menaceintense sequence violence,fantasy action adventure,english,christopher nolan,emma thomas charles roven christopher nolan,jonathan nolan christopher nolan,jul 18 2008 wide,jun 14 2010,20m,2h 32m,syncopy,dts dolby digital sdds,scope 2351,batman,christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal gary oldman morgan freeman ron dean cillian murphy christopher nolan jonathan nolan christopher nolan emma thomas charles roven christopher nolan kevin de la noy benjamin melniker michael e uslan thomas tull
26,treasure sierra madre,1948,classic adventure film two roughandtumble wanderer dobbs humphrey bogart curtin tim holt meet veteran prospector howard walter huston mexico head sierra madre mountain find gold although discover treasure also find plenty trouble ruthless bandit lurking dangerous mexican wilderness insecurity greed threaten bring conflict moment,100,93.0,remade never duplicated darkly humorous morality tale represents john huston finest,51,25000,action adventure,unknown,western adventure drama,english,john huston,henry blanke,unknown,unknown,may 8 2015,unknown,2h 4m,warner brother,unknown,unknown,unknown,humphrey bogart walter huston tim holt bruce bennett barton maclane alfonso bedoya john huston jack l warner henry blanke buddy kaye ted mccord owen mark richard maybery b traven
27,blade runner 2049,2017,officer k ryan gosling new blade runner los angeles police department unearths longburied secret potential plunge whats left society chaos discovery lead quest find rick deckard harrison ford former blade runner who missing 30 year,88,81.0,visually stunning narratively satisfying blade runner 2049 deepens expands predecessor story standing impressive filmmaking achievement right,439,50000,action adventure,r nuditylanguagesome sexualityviolence,mystery thriller sci fi,english,denis villeneuve,andrew kosove broderick johnson bud yorkin cynthia sikes yorkin,hampton fancher michael green,oct 6 2017 wide,dec 26 2017,915m,2h 44m,torridon film alcon entertainment bud yorkin production scott free production 1614 entertainment,dolby atmos,scope 2351,blade runner,ryan gosling harrison ford ana de armas sylvia hoeks robin wright jared leto mackenzie davis carla juri lennie james dave bautista denis villeneuve hampton fancher michael green andrew kosove broderick johnson bud yorkin cynthia sikes yorkin ridley scott bill carraro tim gamble
28,39 step,1935,vacation london canadian richard hannay robert donat becomes embroiled international spy ring related mysterious 39 step meet agent annabella smith lucie mannheim soon killed apartment must elude police hunting murder try stop professor jordan godfrey tearle sending secret country hannay assisted pamela madeleine carroll unwilling accomplice discovers truth,96,86.0,packed twist turn essential early alfred hitchcock feature hint dazzling height hed reach later career,52,10000,action adventure,unknown,mystery thriller,english united kingdom,alfred hitchcock,michael balcon ivor montagu,john buchan charles bennett ian hay,unknown,jan 12 2017,unknown,1h 20m,gaumont british picture corporation ltd,mono,unknown,unknown,robert donat madeleine carroll godfrey tearle lucie mannheim peggy ashcroft wylie watson john laurie helen haye alfred hitchcock charles bennett michael balcon ivor montagu jack beaver bernard knowles n twist
29,captain america civil war,2016,political pressure mount install system accountability action avenger lead collateral damage new status quo deeply divide member team captain america chris evans belief superheroes remain free defend humanity without government interference iron man robert downey jr sharply disagrees support oversight debate escalates allout feud black widow scarlett johansson hawkeye jeremy renner must pick side,90,89.0,captain america civil war begin next wave marvel movie actionpacked superhero blockbuster boasting decidedly noncartoonish plot courage explore thoughtprovoking theme,419,100000,action adventure,pg13 extended sequence violenceaction mayhem,adventure fantasy action,english,anthony russo joe russo,kevin feige,christopher markus stephen mcfeely,may 6 2016 wide,sep 2 2016,4081m,2h 26m,marvel studio,dolby atmos dolby digital,unknown,marvel cinematic universe,chris evans robert downey jr scarlett johansson sebastian stan anthony mackie cheadle jeremy renner chadwick boseman paul bettany elizabeth olsen anthony russo joe russo christopher markus stephen mcfeely kevin feige louis desposito victoria alonso patricia whitcher nate moore stan lee
30,jungle book,2016,raised family wolf since birth mowgli neel sethi must leave home he ever known fearsome tiger shere khan idris elba unleashes mighty roar guided nononsense panther ben kingsley freespirited bear bill murray young boy meet array jungle animal including slithery python smoothtalking ape along way mowgli learns valuable life lesson epic journey selfdiscovery lead fun adventure,94,86.0,lovely behold engrossing watch jungle book rare remake actually improves upon predecessor setting new standard cgi,325,50000,action adventure,pg sequence scary actionperil,kid family action adventure fantasy,english,jon favreau,jon favreau brigham taylor,justin mark,apr 15 2016 wide,aug 23 2016,3640m,1h 45m,fairview entertainment,dolby atmos,flat 1851,unknown,neel sethi bill murray ben kingsley idris elba lupita nyongo scarlett johansson giancarlo esposito christopher walken garry shandling jon favreau justin mark jon favreau brigham taylor peter tobyansen molly allen karen gilchrist bill pope mark livolsi john debney
31,harry potter deathly hallows part 2,2011,clash good evil awaits young harry daniel radcliffe ron rupert grint hermione emma watson prepare final battle lord voldemort ralph fiennes harry grown steely lad mission rid world evil friend must search horcruxes keep dastardly wizard immortal harry voldemort meet hogwarts castle epic showdown force darkness may finally meet match,96,89.0,thrilling powerfully acted visually dazzling deathly hallows part ii brings harry potter franchise satisfying suitably magical conclusion,331,250000,action adventure,pg13 seq intense action violencefrightening image,fantasy adventure,english,david yates,david heyman david barron jk rowling,steve kloves,jul 15 2011 wide,jul 24 2014,3810m,2h 11m,warner bros moving picture company heyday film,sdds dolby digital,unknown,harry potter,daniel radcliffe rupert grint emma watson ralph fiennes alan rickman robbie coltrane helena bonham carter jim broadbent gary oldman maggie smith steve kloves david heyman david barron jk rowling lionel wigram eduardo serra alexandre desplat
32,skyfall,2012,james bond daniel craig latest assignment go terribly wrong lead calamitous turn event undercover agent around world exposed mi6 attacked forcing judi dench relocate agency mi6 compromised inside turn one man trust bond aided field agent naomie harris bond take shadow follows trail silva javier bardem man m past want settle old score,92,86.0,sam mendes brings bond surging back smart sexy riveting action thriller qualifies one best 007 film date,379,250000,action adventure,pg13 languageintense violent sequencessmokingsome sexuality,mystery thriller adventure action,english,sam mendes,michael g wilson barbara broccoli,neal purvis robert wade john logan,nov 9 2012 wide,feb 4 2017,3044m,2h 23m,eon production ltd,sdds dolby digital datasat,unknown,james bond 007,daniel craig judi dench javier bardem ralph fiennes naomie harris ben whishaw albert finney rory kinnear ola rapace sam mendes neal purvis robert wade john logan michael g wilson barbara broccoli callum mcdougall roger deakins dennis gassner stuart baird
33,lawrence arabia,1962,due knowledge native bedouin tribe british lieutenant te lawrence peter otoole sent arabia find prince faisal alec guinness serve liaison arab british fight turk aid native sherif ali omar sharif lawrence rebel order superior officer strike daring camel journey across harsh desert attack wellguarded turkish port,97,93.0,epic epic lawrence arabia cement director david lean status filmmaking pantheon nearly four hour grand scope brilliant performance beautiful cinematography,91,50000,action adventure,pg,drama history adventure biography,english,david lean,robert harris sam spiegel,robert bolt michael wilson,unknown,apr 2 2013,60m,3h 36m,horizon film,surround,unknown,unknown,peter otoole alec guinness anthony quinn omar sharif jack hawkins jose ferrer claude rain anthony quayle arthur kennedy donald wolfit david lean robert bolt michael wilson robert harris sam spiegel maurice jarre fa young anne v coates maude spector john box
34,mission impossible rogue nation,2015,imf disbanded ethan hunt tom cruise cold new threat called syndicate soon emerges syndicate network highly skilled operative dedicated establishing new world order via escalating series terrorist attack faced may impossible mission yet ethan gather team join force ilsa faust rebecca ferguson disavowed british agent may may member deadly rogue nation,94,87.0,mission impossible rogue nation continues franchise thrilling resurgence prof tom cruise remains action star without equal,325,50000,action adventure,pg13 sequence action violencebrief partial nudity,action mystery thriller adventure,english,christopher mcquarrie,tom cruise jj abrams bryan burk david ellison dana goldberg granger,christopher mcquarrie,jul 31 2015 wide,jun 1 2016,unknown,2h 11m,tom cruise paramount picture skydance production bad robot,dolby atmos,unknown,unknown,tom cruise jeremy renner simon pegg rebecca ferguson ving rhames sean harris alec baldwin simon mcburney zhang jingchu christopher mcquarrie tom cruise jj abrams bryan burk david ellison dana goldberg granger christopher mcquarrie jake myers joe kraemer
